k,sigma,amp,P_switch
1.0333333333333334,-1.4375,1.5,0.36
1.0333333333333334,-1.4375,1.75,0.4
1.0333333333333334,-1.4375,2.0,0.34
1.0333333333333334,-1.25,0.0,0.44
1.0333333333333334,-1.25,0.25,0.4
1.0333333333333334,-1.25,0.5,0.32
1.0333333333333334,-1.25,0.75,0.42
1.0333333333333334,-1.25,1.0,0.4
1.0333333333333334,-1.25,1.25,0.54
1.0333333333333334,-1.25,1.5,0.54
1.0333333333333334,-1.25,1.75,0.62
1.0333333333333334,-1.25,2.0,0.5
1.0333333333333334,-1.0625,0.0,0.44
1.0333333333333334,-1.0625,0.25,0.34
1.0333333333333334,-1.0625,0.5,0.32
1.0333333333333334,-1.0625,0.75,0.42
1.0333333333333334,-1.0625,1.0,0.5
1.0333333333333334,-1.0625,1.25,0.4
1.0333333333333334,-1.0625,1.5,0.72
1.0333333333333334,-1.0625,1.75,0.56
1.0333333333333334,-1.0625,2.0,0.52
1.0333333333333334,-0.875,0.0,0.54
1.0333333333333334,-0.875,0.25,0.14
1.0333333333333334,-0.875,0.5,0.16
1.0333333333333334,-0.875,0.75,0.2
1.0333333333333334,-0.875,1.0,0.34
1.0333333333333334,-0.875,1.25,0.48
1.0333333333333334,-0.875,1.5,0.56
1.0333333333333334,-0.875,1.75,0.82
1.0333333333333334,-0.875,2.0,0.9
1.0333333333333334,-0.6875,0.0,0.52
1.0333333333333334,-0.6875,0.25,0.0
1.0333333333333334,-0.6875,0.5,0.0
1.0333333333333334,-0.6875,0.75,0.0
1.0333333333333334,-0.6875,1.0,0.18
1.0333333333333334,-0.6875,1.25,0.46
1.0333333333333334,-0.6875,1.5,0.66
1.0333333333333334,-0.6875,1.75,0.84
1.0333333333333334,-0.6875,2.0,0.98
1.0333333333333334,-0.5,0.0,0.52
1.0333333333333334,-0.5,0.25,0.0
1.0333333333333334,-0.5,0.5,0.0
1.0333333333333334,-0.5,0.75,0.0
1.0333333333333334,-0.5,1.0,0.02
1.0333333333333334,-0.5,1.25,0.22
